Brain region,PV [mm^-3],std PV [mm^-3],SST [mm^-3],std SST [mm^-3],VIP [mm^-3],std VIP [mm^-3],Rest inh. [mm^-3],std Rest inh. [mm^-3],GAD67 [mm^-3],std GAD67 [mm^-3],Non inh. [mm^-3],std Non inh. [mm^-3],Neuron [mm^-3],Volumes [mm^3]
"Orbital area, lateral part, layer 5",5419.335355,402.3682108,6046.741366,658.6603505,796.6506868,49.06235443,175.2677024,973.1584629,12437.99511,443.8074374,175.2677024,443.8074374,49259.29192,0.526578125
"Orbital area, lateral part, layer 6a",3209.299647,282.4854319,5941.372538,415.1439179,572.047209,9.660551512,2888.842465,619.5908431,12611.56186,450.5199632,2888.842465,450.5199632,47903.67004,0.244109375
"Orbital area, lateral part, layer 6b",0,0,0,0,0,0,0,0,0,0,0,0,24127.02396,0.00065625
"Orbital area, medial part",1913.233913,0,5284.905163,0,2195.334852,0,7871.765577,0,17265.2395,0,7871.765577,0,72268.75307,1.0145
"Orbital area, medial part, layer 1",332.4646311,0,2041.02571,215.6448252,3943.120833,269.5058816,23702.19381,341.1038697,30018.80498,0,23702.19381,0,30018.80498,0.2285
"Orbital area, medial part, layer 2",638.1422303,293.4071751,3695.341644,295.8964071,4493.930416,392.0343311,4372.843597,866.400526,13200.25789,471.5513836,4372.843597,471.5513836,118449.9888,0.094125
"Orbital area, medial part, layer 2/3",1875.983315,66.10882132,5436.860746,1724.104781,1905.25032,0,4219.475905,1541.9028,13437.57029,480.026862,4219.475905,480.026862,93180.49015,0.316296875
"Orbital area, medial part, layer 5",3433.775529,82.72079804,7364.212912,1050.048016,865.2535466,0,3238.344751,1382.253834,14901.58674,532.325625,3238.344751,532.325625,71592.67754,0.254375
"Orbital area, medial part, layer 6a",2789.599596,0,7874.418729,551.869925,663.7560159,26.68443558,0,194.7760335,11327.77434,557.1018893,0,557.1018893,62904.01058,0.121203125
"Orbital area, ventrolateral part",4026.885711,0,5347.857563,0,1938.074996,0,8139.551774,0,19452.37004,0,8139.551774,0,66406.88322,1.561375
"Orbital area, ventrolateral part, layer 1",1599.910328,74.62811264,2534.14745,234.0440709,3717.042809,0,18619.97092,225.1187056,26471.07151,0,18619.97092,0,26471.07151,0.341859375
"Orbital area, ventrolateral part, layer 2/3",4970.920778,616.4075679,5828.412073,1006.008749,2023.204707,131.5072231,1896.966386,1515.789031,14719.50394,552.9824484,1896.966386,552.9824484,90141.24608,0.668515625
"Orbital area, ventrolateral part, layer 5",6468.254758,257.7817146,6864.450269,141.3487933,932.3220163,157.1117344,5090.454951,698.9723371,19355.48199,691.4324395,5090.454951,691.4324395,55261.6742,0.27353125
"Orbital area, ventrolateral part, layer 6a",2354.415029,0,6210.604018,361.1324245,536.8791019,32.81969448,13378.79298,906.4886196,22480.69112,803.0744216,13378.79298,803.0744216,69772.43391,0.27528125
"Orbital area, ventrolateral part, layer 6b",0,0,0,0,0,0,0,0,0,0,0,0,24225.93052,0.0021875
Agranular insular area,2018.196551,0,4618.39794,0,1651.738053,0,4425.486765,0,12713.81931,0,4425.486765,0,49444.27215,4.901734375
"Agranular insular area, dorsal part",2546.58797,0,4378.973166,0,1817.267148,0,3677.21073,0,12420.03901,0,3677.21073,0,46813.81981,2.43790625
"Agranular insular area, dorsal part, layer 1",518.6488574,34.04012829,1047.987865,5.380357775,1927.760359,379.7729669,6762.971549,432.9884925,10257.36863,0,6762.971549,0,10257.36863,0.504890625
"Agranular insular area, dorsal part, layer 2/3",2815.541019,212.8474312,3856.106257,117.8234506,2646.543824,307.9065052,3534.972728,635.8033924,12853.16383,459.1600116,3534.972728,459.1600116,53281.4926,1.063734375
"Agranular insular area, dorsal part, layer 5",3759.603144,32.758896,6968.268296,69.34582905,725.4008106,36.22480918,1866.673208,580.3431295,13319.94546,490.787214,1866.673208,490.787214,58277.7922,0.640984375
"Agranular insular area, dorsal part, layer 6a",2372.559082,183.7598766,6911.992984,554.1072217,774.5812534,38.66565402,2360.206244,813.6358624,12419.33956,445.8407452,2360.206244,445.8407452,66084.64163,0.217109375
"Agranular insular area, dorsal part, layer 6b",2372.498438,225.5933117,6911.682513,1664.98713,774.0537856,424.693852,7234.039819,1697.041493,17292.27456,617.7324826,7234.039819,617.7324826,50837.98465,0.0111875
"Agranular insular area, posterior part",747.5955331,0,4633.228119,0,1601.148373,0,6354.871448,0,13336.84347,0,6354.871448,0,57935.63076,1.323859375
"Agranular insular area, posterior part, layer 1",49.92734202,24.415701,414.0989046,54.55188061,1141.608363,365.911587,8463.38834,357.892689,10069.02295,0,8463.38834,0,10069.02295,0.370515625
"Agranular insular area, posterior part, layer 2/3",933.5760359,0,4137.727335,149.517326,3149.148416,390.9761648,5982.069902,462.9464014,14202.52169,507.3572435,5982.069902,507.3572435,92766.99627,0.37553125
"Agranular insular area, posterior part, layer 5",1360.803153,75.4062201,7867.32117,0,1004.362117,43.45295072,5789.974983,529.6306534,16022.46142,572.3709202,5789.974983,572.3709202,57225.28622,0.34096875
