Brain region,PV [mm^-3],std PV [mm^-3],SST [mm^-3],std SST [mm^-3],VIP [mm^-3],std VIP [mm^-3],Rest inh. [mm^-3],std Rest inh. [mm^-3],GAD67 [mm^-3],std GAD67 [mm^-3],Non inh. [mm^-3],std Non inh. [mm^-3],Neuron [mm^-3],Volumes [mm^3]
Nucleus accumbens,459.4253203,4.95533465,5513.50625,0,43.36665634,0,38274.35782,89.19711053,44290.65604,14.68564428,38274.35782,14.68564428,44290.66181,5.072265625
Fundus of striatum,388.2245968,103.0400156,13393.446,64.33242864,170.7833186,4.575824394,4143.562922,161.8351525,18096.01684,0.015446998,4143.562922,0.015446998,18096.01684,0.384078125
Olfactory tubercle,338.7890842,0,4401.476223,0,137.6840798,0,11507.01451,0,16384.9639,0,11507.01451,0,52928.74334,4.0904375
Islands of Calleja,51.43379672,0.554765188,1023.086893,10.82156859,121.9503065,0,18592.83229,382.8992399,19789.30328,386.8399892,18592.83229,386.8399892,193051.9964,0.269703125
Major island of Calleja,1416.053781,15.27430776,5812.136465,61.47715766,0,0,48071.15292,1067.90316,55299.34317,1080.989785,48071.15292,1080.989785,344855.8668,0.04596875
"Olfactory tubercle, molecular layer",116.7466691,16.92296813,2540.119778,783.0270835,70.96811929,0,7197.335619,719.2582364,9925.170185,194.0154171,7197.335619,194.0154171,23298.91748,1.447
"Olfactory tubercle, pyramidal layer",384.6666126,17.53021311,5143.210735,632.572485,162.1389249,27.6445427,10480.19282,972.9672389,16170.2091,316.0912113,10480.19282,316.0912113,68371.99299,1.271875
"Olfactory tubercle, polymorph layer",614.3147814,115.6397845,6860.353121,0,209.6679574,25.33113616,15248.13993,436.2954682,22932.47579,671.5944804,15248.13993,671.5944804,26430.99001,1.055890625
Lateral septal complex,202.1682643,0,17473.4436,0,59.91937057,0,16661.42399,0,34396.95522,0,16661.42399,0,40951.59014,3.74571875
Lateral septal nucleus,211.7526359,0,18660.50361,0,58.31096241,0,17152.6169,0,36083.18411,0,17152.6169,0,43437.74392,3.3383125
"Lateral septal nucleus, caudal (caudodorsal) part",192.0731077,32.20563287,17610.5105,184.0339869,78.56794241,4.229672615,8465.343661,1554.602314,26346.49521,1824.092051,8465.343661,1824.092051,35873.6872,0.76925
"Lateral septal nucleus, rostral (rostroventral) part",219.9939267,5.085990945,19094.9372,5122.733054,54.20244337,1.723550079,18896.01597,5401.632107,38265.14954,808.5151088,18896.01597,808.5151088,43978.4895,2.44890625
"Lateral septal nucleus, ventral part",169.776695,31.39011614,16528.44703,3431.776939,12.35992853,0.617190194,37236.99934,2066.893649,53947.58299,839.5313545,37236.99934,839.5313545,80842.50151,0.12015625
Septofimbrial nucleus,44.1713836,0.476429217,5930.668615,155.1465574,27.30578311,0.72717273,4566.904042,180.62749,10569.04982,0.008867875,4566.904042,0.008867875,10569.04982,0.30790625
Septohippocampal nucleus,369.5310758,83.46832399,13366.0593,1800.965933,214.8067723,0,37608.38706,1541.259586,51558.78421,0,37608.38706,0,51558.78421,0.0995
Striatum-like amygdalar nuclei,270.0312397,38.06212487,16680.14848,652.2771997,278.5297107,19.42622644,25654.71741,688.7785919,42883.42684,169.970276,25654.71741,169.970276,79468.43517,3.987140625
Anterior amygdalar area,288.1695184,8.300300761,13675.02418,0,165.1370236,0,15895.56378,712.9363131,30023.8945,32.74074917,15895.56378,32.74074917,30023.8945,0.61053125
Bed nucleus of the accessory olfactory tract,57.226854,13.27025182,6457.679843,131.9726252,366.2456678,43.03131104,5839.699041,164.0259111,12720.85141,248.6682109,5839.699041,248.6682109,97493.0227,0.063453125
Central amygdalar nucleus,120.7097454,0,24422.76375,0,151.4142006,0,28445.00789,0,53139.89559,0,28445.00789,0,71906.18568,1.2866875
"Central amygdalar nucleus, capsular part",75.08620509,13.96000191,21088.21643,0,172.6711907,46.43181212,28579.54135,469.34039,49915.51518,1044.093702,28579.54135,1044.093702,52573.58754,0.4916875
"Central amygdalar nucleus, lateral part",164.8558484,63.59338661,28229.66657,1820.954444,308.1188025,31.22735305,10112.21931,2290.891946,38814.86054,778.2855183,10112.21931,778.2855183,114611.1616,0.20440625
"Central amygdalar nucleus, medial part",143.4136516,133.6310717,25881.29681,6789.140685,79.48117333,12.01492626,34678.03718,6268.922259,60782.22881,1556.373289,34678.03718,1556.373289,73220.85056,0.59059375
Intercalated amygdalar nucleus,181.4940418,6.307823408,11584.89806,114.8571225,375.2878892,2.134566709,30029.61571,706.9851901,42171.29571,824.3649665,30029.61571,824.3649665,117239.3453,0.20265625
Medial amygdalar nucleus,371.3751296,0,14465.61027,0,361.8161552,0,24601.64174,0,39800.4433,0,24601.64174,0,104102.4231,1.560546875
"Medial amygdalar nucleus, anterodorsal part",114.3216147,31.45810653,14052.05611,150.6811317,96.89700357,0,31461.03643,840.405587,45724.31115,893.8548606,31461.03643,893.8548606,88927.64542,0.7068125
"Medial amygdalar nucleus, anteroventral part",70.35874455,21.75877632,13902.38622,112.9965448,109.8051901,0.129433172,15549.76486,554.8720998,29632.31502,579.2537886,15549.76486,579.2537886,107647.4595,0.40990625
"Medial amygdalar nucleus, posterodorsal part",1193.842444,0,17352.15061,0,747.4419419,0,22690.37907,0,41983.81406,0,22690.37907,0,114344.4597,0.3738125
"Medial amygdalar nucleus, posterodorsal part, sublayer a",1575.042952,667.7494299,21154.5261,2578.273722,638.5174622,281.3196771,25832.882,2916.261368,49200.96851,961.784491,25832.882,961.784491,133338.6967,0.15246875
"Medial amygdalar nucleus, posterodorsal part, sublayer b",699.4249865,155.7842147,17185.14849,2976.933606,863.3238039,106.0085048,26623.24631,3373.671071,45371.14359,886.915635,26623.24631,886.915635,107789.0974,0.099703125
"Medial amygdalar nucleus, posterodorsal part, sublayer c",1121.28281,382.8564075,12722.99973,553.5098018,788.9888798,91.03239057,15527.86534,784.5392952,30161.13676,589.5902911,15527.86534,589.5902911,95909.52094,0.121640625
"Medial amygdalar nucleus, posteroventral part",337.5051463,0,6526.66031,855.5623341,2452.739404,602.7680595,18553.97571,809.9572114,27870.88057,544.8199848,18553.97571,544.8199848,181856.3336,0.070015625
Pallidum,1641.133496,0,6818.833394,0,43.32138388,0,15223.3555,0,23726.64377,0,15223.3555,0,25837.21875,9.640328125
"Pallidum, dorsal region",4436.631873,0,1357.427441,0,5.191764494,0,14088.97204,0,19888.22311,0,14088.97204,0,19888.22311,2.100703125
"Globus pallidus, external segment",5021.039248,291.1165809,1029.977212,109.7601645,5.563960531,0,13873.93195,433.8128496,19930.51237,0.008995445,13873.93195,0.008995445,19930.51237,1.772203125
"Globus pallidus, internal segment",1283.850822,179.2846551,3123.967222,0,3.183828482,1.041393406,15249.0777,148.8874723,19660.07957,0.005436637,15249.0777,0.005436637,19660.07957,0.3285
"Pallidum, ventral region",967.8449161,0,5266.976451,0,41.43692595,0,8094.854727,0,14371.11302,0,8094.854727,0,15386.96353,3.811859375
Substantia innominata,935.7739394,139.6826349,4596.60368,90.86752861,41.90090572,5.380023355,6915.615713,118.9765106,12489.89424,0.006600106,6915.615713,0.006600106,12489.89879,3.437078125
Magnocellular nucleus,1261.96436,0,11414.8923,0,37.18181783,0.068665629,18909.5276,375.4403239,31623.56608,656.3693084,18909.5276,656.3693084,41955.62952,0.37478125
"Pallidum, medial region",1195.905588,0,9752.791768,0,40.38629861,0,17474.85069,0,28463.93434,0,17474.85069,0,34064.77602,2.067484375
Medial septal complex,1143.896217,0,10391.47405,0,43.4701625,0,17926.31245,0,29505.15287,0,17926.31245,0,29505.15287,1.8791875
Medial septal nucleus,1272.84683,13.57658056,8556.037983,2373.248422,17.66542581,0.963676069,22692.45203,2359.171183,32539.00226,0.014396181,22692.45203,0.014396181,32539.00226,0.732796875
Diagonal band nucleus,1061.468286,117.3734766,11564.72318,4028.368893,59.96509013,1.333366674,14879.6963,3992.18692,27565.85286,0.00680584,14879.6963,0.00680584,27565.85286,1.146390625
Triangular nucleus of septum,1714.954882,385.681672,3378.79457,102.4608297,9.609587776,34.14151028,12969.29901,394.2957349,18072.65805,353.2839756,12969.29901,353.2839756,79569.44419,0.188296875
"Pallidum, caudal region",204.3112398,0,13638.36466,0,99.54712408,0,30221.3652,0,44163.58822,0,30221.3652,0,47111.70518,1.66028125
Bed nuclei of the stria terminalis,206.0721758,0,13755.91222,0,100.4051097,0,30481.8398,0,44544.2293,0,30481.8398,0,46305.54505,1.64609375
"Bed nuclei of the stria terminalis, anterior division",78.42022668,0,12692.22659,0,130.1254962,0,20517.9288,0,33418.70112,0,20517.9288,0,33498.89116,1.00609375
"Bed nuclei of the stria terminalis, anterior division, anterolateral area",59.92364662,10.18980681,17739.88,2650.906702,108.3070905,0,7210.512065,2643.786699,25118.6228,0.010249797,7210.512065,0.010249797,25118.6228,0.296734375
"Bed nuclei of the stria terminalis, anterior division, anteromedial area",62.23001189,1.340150308,10144.68678,2505.759839,154.7873732,41.16749212,22014.04158,2492.45073,32375.74575,0,22014.04158,0,32375.74575,0.344796875
"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",58.41931752,4.233652089,4389.902883,177.2503545,44.7010292,8.161079245,13785.87018,180.0697738,18278.89341,0.069679238,13785.87018,0.069679238,18278.89341,0.044984375
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",167.5490632,81.82891122,5675.670771,168.4983528,199.6929542,39.1309785,22481.60655,259.5745995,28524.51934,0.063486748,22481.60655,0.063486748,28524.51934,0.02784375
"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",19.26368635,4.359096125,26033.24834,393.4674325,143.8788107,41.09674143,0,0,26196.39084,290.593053,0,290.593053,31530.5197,0.015125
"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",26.32548887,0,2387.451727,236.2063241,60.33292735,149.6062337,61228.83946,0,63702.94961,0,61228.83946,0,63702.94961,0.068359375
"Bed nuclei of the stria terminalis, anterior division, oval nucleus",351.1401283,54.38529188,16438.1228,0,197.3253333,0,27592.22145,0,44578.80971,0.022688878,27592.22145,0.022688878,44578.80971,0.07946875
"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",2.680490819,0.235509628,30257.54298,5529.003258,215.4649962,44.51364488,3074.721289,5559.855631,33550.40976,0,3074.721289,0,33550.40976,0.0555625
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",30.35111502,9.499763008,1471.111669,304.1433449,53.06428763,98.00185615,42581.11023,0,44135.6373,0,42581.11023,0,44135.6373,0.07321875
"Bed nuclei of the stria terminalis, posterior division",406.7437824,0,15428.04887,0,53.68402375,0,46145.32196,0,62033.79863,0,46145.32196,0,66437.88011,0.64
"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",196.3349804,10.75269377,11669.67965,916.6053646,0,324.5637914,13607.06097,1500.565887,25473.0756,497.9500764,13607.06097,497.9500764,86537.83724,0.00471875
"Bed nuclei of the stria terminalis, posterior division, principal nucleus",127.5923773,44.74552595,20429.02333,1531.043613,69.26899154,18.14987976,53276.37575,4654.411265,73902.26045,3265.868442,53276.37575,3265.868442,81467.17168,0.3345
"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",199.2275029,72.03040024,9878.935045,923.6038509,37.39368696,6.723410316,38706.11828,397.8504556,48821.67452,0,38706.11828,0,48821.67452,0.22725
"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",6.181665042,0,11846.14329,778.701538,12.64101831,3.997671075,23382.72706,789.7881532,35247.69304,0.028792257,23382.72706,0.028792257,35247.69304,0.0425625
"Bed nuclei of the stria terminalis, posterior division, strial extension",5527.260792,530.2316249,7626.6303,298.8413024,69.47483592,17.08052403,59952.6085,674.4713702,73175.97442,87.07539197,59952.6085,87.07539197,73175.97442,0.03096875
Bed nucleus of the anterior commissure,0,0,0,0,0,0,0,0,0,0,0,0,140645.813,0.0141875
Brain stem,2967.271249,0,7513.551174,0,131.9071768,0,10633.23718,0,21245.96678,0,10633.23718,0,43448.85045,113.3668594
Interbrain,1511.395712,0,6412.352603,0,59.69597064,0,13209.63441,0,21193.07869,0,13209.63441,0,71868.38633,35.8416875
Thalamus,1965.153801,129.1049466,4224.676728,219.6733886,3.751130258,6.025276731,6737.581225,349.7308265,12931.16288,184.9667226,6737.581225,184.9667226,68309.8479,19.95279688
"Thalamus, sensory-motor cortex related",542.3461827,0,2444.459534,0,1.783486921,0,4885.901148,0,7874.490352,0,4885.901148,0,56023.75468,6.400375
Ventral group of the dorsal thalamus,735.8579332,0,2674.4122,0,0.947802362,0,3799.527021,0,7210.744957,0,3799.527021,0,51768.9207,4.367203125
Ventral anterior-lateral complex of the thalamus,1636.038532,283.7409744,3466.37732,1140.003154,0.857948891,15.52935138,1904.878497,1001.396919,7008.152298,136.9950786,1904.878497,136.9950786,50098.07227,1.21675
Ventral medial nucleus of the thalamus,100.7952885,39.64294919,8737.761026,900.7192536,1.729762826,4.3810477,2470.162522,1160.994291,11310.4486,224.2520517,2470.162522,224.2520517,51576.57327,0.6823125
Ventral posterior complex of the thalamus,467.6464886,0,607.7867393,0,0.775927151,0,5101.055619,0,6177.264774,0,5101.055619,0,52645.7937,2.468140625
Ventral posterolateral nucleus of the thalamus,1238.534396,447.8734651,1609.68766,124.2679794,2.054997716,0,13509.8477,630.4358736,16360.12476,318.5638854,13509.8477,318.5638854,39144.1853,0.931921875
"Ventral posterolateral nucleus of the thalamus, parvicellular part",0,0,0,0,0,0,0,0,0,0,0,0,27366.83979,0.073609375
Ventral posteromedial nucleus of the thalamus,0,0,0,0,0,0,0,0,0,0,0,0,62924.29546,1.3021875
"Ventral posteromedial nucleus of the thalamus, parvicellular part",0,0,0,0,0,0,0,0,0,0,0,0,59245.11632,0.160421875
Subparafascicular nucleus,229.4052425,0,6773.850531,0,3.135834174,0,16131.69007,0,23138.08167,0,16131.69007,0,71039.56576,0.36184375
"Subparafascicular nucleus, magnocellular part",79.70063637,3.551219896,12246.23459,1520.14493,10.99605436,0,30255.97262,1718.183926,42592.9039,832.6081404,30255.97262,832.6081404,138727.5688,0.0745
"Subparafascicular nucleus, parvicellular part",268.2193569,23.12591348,5355.018166,747.4859072,1.097904328,4.209372239,12469.66836,519.6600598,18094.00378,353.7014559,12469.66836,353.7014559,53490.00629,0.28734375
Subparafascicular area,20.44469457,0,1672.072021,0,5.666934508,0.790044466,0,0.001702114,1698.18365,0,0,0,74362.58739,0.06996875
Peripeduncular nucleus,194.4374015,42.15296957,7458.818074,124.7595894,1.58629657,0.045088349,24928.23545,582.9907058,32583.07722,636.933026,24928.23545,636.933026,76448.2619,0.110796875
"Geniculate group, dorsal thalamus",101.7035407,0,383.2609328,0,3.736034312,0,4078.441169,0,4567.141677,0,4078.441169,0,62465.77244,1.4905625
Medial geniculate complex,81.16324409,0,230.8825398,0,4.671615134,0,3634.174457,0,3950.891856,0,3634.174457,0,70334.48866,0.858765625
"Medial geniculate complex, dorsal part",53.79434911,0,219.5211093,374.3395662,1.614328285,2.460117303,1756.694132,374.3691377,2031.623919,52.17891295,1756.694132,52.17891295,71452.54122,0.2088125
"Medial geniculate complex, ventral part",43.29107342,0,169.6362325,502.9810299,5.925057287,2.313683579,4690.016773,463.0741376,4908.869137,91.44181191,4690.016773,91.44181191,76292.27536,0.462453125
"Medial geniculate complex, medial part",205.0516231,217.6327825,394.5942994,664.4132888,4.984902971,3.737748329,3120.914627,583.7844156,3725.545452,253.002172,3120.914627,253.002172,54394.9664,0.1875
Dorsal part of the lateral geniculate complex,129.6227997,23.2736513,590.3802318,53.08261606,2.464352414,1.867565601,4682.307689,0,5404.775073,0,4682.307689,0,51770.27319,0.631796875
"Thalamus, polymodal association cortex related",2474.991742,0,3859.617991,0,2.846102693,0,5611.905068,0,11949.3609,0,5611.905068,0,77040.61882,11.74748438
Lateral group of the dorsal thalamus,115.7646166,0,473.277243,0,0.6871792,0,2242.684702,0,2832.413741,0,2242.684702,0,41668.96778,2.242203125
Lateral posterior nucleus of the thalamus,107.6393152,53.10089266,453.3078458,21.62186768,1.373328481,0,3204.015349,65.25098867,3766.335839,73.62417062,3204.015349,73.62417062,40062.42777,0.873453125
Posterior complex of the thalamus,0,0,0,0,0,0,0,0,0,0,0,0,38128.04973,1.117953125
Posterior limiting nucleus of the thalamus,898.5269913,307.0845,3923.533743,2279.848457,1.196655689,0.054567376,9754.07097,2209.437495,14577.32836,284.9578356,9754.07097,284.9578356,40621.87685,0.15146875
Suprageniculate nucleus,296.5034193,135.306758,714.2771214,78.27237137,1.610836367,0.046617303,7576.509589,250.2224474,8588.900966,167.5829465,7576.509589,167.5829465,97246.57327,0.099328125
Anterior group of the dorsal thalamus,529.7967571,0,778.6987962,0,2.719830036,0,1666.858079,0,2978.073463,0,1666.858079,0,70008.47151,2.127109375
Anteroventral nucleus of thalamus,919.4393004,280.1956313,1725.700998,63.73019227,6.235583134,4.903565042,4232.355716,403.3733031,6883.731598,418.3464567,4232.355716,418.3464567,78241.67588,0.388953125
Anteromedial nucleus,246.5839565,0,531.6937583,0,2.431385737,0,4.39936E-14,0,780.7091005,0,4.39936E-14,0,65018.97151,0.4744375
"Anteromedial nucleus, dorsal part",184.8598249,5.302608177,0,0,2.222855139,0.879635657,8.54748E-14,8.59085E-05,187.08268,3.656577445,8.54748E-14,3.656577445,64042.27867,0.37278125
"Anteromedial nucleus, ventral part",472.9310717,0,2481.455468,293.2109958,3.196083404,1.145846722,0,0.001339585,2957.582623,294.9940594,0,294.9940594,68600.57894,0.10165625
Anterodorsal nucleus,1238.89897,112.4969248,877.7621405,10.42908323,4.699947098,0.392115996,0,0,2121.361057,50.30833031,0,50.30833031,156903.5149,0.170875
Interanteromedial nucleus of the thalamus,0,0,0,0,0,0,0,0,0,0,0,0,65731.63337,0.049546875
Interanterodorsal nucleus of the thalamus,0,0,0,0,0,0,0,0,0,0,0,0,78734.08081,0.080453125
Lateral dorsal nucleus of thalamus,457.6353354,0,605.412509,205.5303179,1.457539078,1.337396939,1972.699585,298.1863715,3037.204968,63.08508511,1972.699585,63.08508511,53210.92386,0.96284375
Medial group of the dorsal thalamus,105.5902283,0,492.5819446,0,1.314025982,0,51.96242206,0,651.4486209,0,51.96242206,0,65608.26569,1.65425
Intermediodorsal nucleus of the thalamus,0,0,0,0,0,0,0,0,0,0,0,0,87856.78271,0.22775
Mediodorsal nucleus of thalamus,140.6853654,0,585.7105231,0,1.671627879,0,72.193556,0,800.2610724,0,72.193556,0,62708.00325,1.190671875
"Mediodorsal nucleus of the thalamus, central part",199.5076714,4.895645045,1198.212163,187.6945426,3.987534578,0.746910772,411.132617,191.9962929,1812.839986,35.4370336,411.132617,35.4370336,60545.39431,0.209078125
"Mediodorsal nucleus of the thalamus, lateral part",163.6685354,49.69085598,119.2360043,33.6288188,0.743079248,0.131190387,4.76396E-14,0,283.6476189,12.49252431,4.76396E-14,12.49252431,70965.89618,0.452109375
"Mediodorsal nucleus of the thalamus, medial part",97.83355506,8.813391325,742.1585933,171.5441724,1.550000325,0,0,163.5408078,841.5421487,87.82135626,0,87.82135626,56510.81077,0.529484375
Submedial nucleus of the thalamus,33.53095931,1.756455392,549.9039313,261.9374004,0.858422902,0.069832083,3.11847E-15,0.00037043,584.2933135,261.9464083,3.11847E-15,261.9464083,58191.92298,0.213609375
Perireunensis nucleus,0,0,0,0,0,0,0,0,0,0,0,0,64274.32478,0.02221875
Midline group of the dorsal thalamus,98.81825507,0,1757.839525,0,0.295150304,0,5857.249465,0,7714.202395,0,5857.249465,0,95876.25459,1.515453125
Paraventricular nucleus of the thalamus,0,78.51007096,0,31.77391974,0,0,0,0.00036842,0,81.53958866,0,81.53958866,120593.2231,0.63125
Parataenial nucleus,160.2392272,0,1453.987119,335.0483255,3.1319839,0.0194189,6.99659E-15,398.6943355,1617.35833,31.61470195,6.99659E-15,31.61470195,47742.04636,0.1428125
Nucleus of reuniens,171.1247277,1.845738984,3313.065722,35.04273999,0,0,11972.61835,292.7062802,15456.8088,300.7388969,11972.61835,300.7388969,84103.21693,0.741390625
Intralaminar nuclei of the dorsal thalamus,169.9449054,0,291.8757338,0,5.152530436,0,0,0,466.9731696,0,0,0,93005.01655,1.60321875
Rhomboid nucleus,25.97018798,6.099424961,298.1767824,79.55667219,4.848978997,1.742069163,0,0.000485852,328.9959494,80.40810898,0,80.40810898,116085.531,0.223796875
Central medial nucleus of the thalamus,115.0292186,102.1649833,65.08919046,21.43332073,7.076658105,11.39438746,1.91309E-14,0.00048967,187.1950672,81.87771082,1.91309E-14,81.87771082,99869.33267,0.394625
Paracentral nucleus,0,0,0,0,0,0,0,0,0,0,0,0,67484.48653,0.201390625
Central lateral nucleus of the thalamus,563.5304204,45.23039058,701.0346505,0,4.135473181,0.162276195,0,0,1268.700544,10.33875126,0,10.33875126,60730.16941,0.283265625
Parafascicular nucleus,123.2145653,0,353.79005,15.90882434,6.420961022,0,2.04224E-13,0.000292005,483.4255763,15.65018505,2.04224E-13,15.65018505,105816.9582,0.500140625
Reticular nucleus of the thalamus,16715.86285,401.8631015,22407.65328,1299.561737,2.174198281,0.485581123,17035.37816,1279.582713,56161.06849,0,17035.37816,0,56161.06849,1.526484375
"Geniculate group, ventral thalamus",2768.354314,0,8224.796372,0,15.42704423,0,41173.80282,0,52182.38055,0,41173.80282,0,67405.2309,0.543671875
Intergeniculate leaflet of the lateral geniculate complex,1075.513007,173.0158037,4972.373217,102.8096872,7.697380658,8.252458596,8209.490076,708.6838226,14265.07368,278.8529318,8209.490076,278.8529318,59267.97729,0.09659375
Ventral part of the lateral geniculate complex,3208.079458,476.9533721,8273.522898,1923.443995,16.94074213,12.14491704,46022.73788,2599.883254,57521.28098,1705.771644,46022.73788,1705.771644,65596.38284,0.425296875
Subgeniculate nucleus,1689.635696,77.1257448,21696.9575,0,20.14973938,6.31565293,92681.85019,0,116088.5931,3018.188186,92681.85019,3018.188186,138810.9247,0.02178125
Epithalamus,130.7390059,0,0,0,6.579404997,0,0,0,137.3184109,0,0,0,256733.2334,0.53509375
Medial habenula,0,0,0,0,0,0,0,0,0,0,0,0,473923.7168,0.21784375
Lateral habenula,220.5126081,28.68935539,0,0.000657435,11.09723717,1.624955667,0,0.00021778,231.6098453,28.01793099,0,28.01793099,107596.6239,0.31725
Hypothalamus,941.5797837,75.9720602,9159.570983,708.7640907,129.9498394,45.40466219,21337.04655,353.1718081,31568.14715,270.0085942,21337.04655,270.0085942,76337.09317,15.88889063
Periventricular zone,199.0040927,0,11716.08076,0,39.54828321,0,12501.89241,0,24456.52554,0,12501.89241,0,162353.5709,0.78171875
Supraoptic nucleus,32.96422588,1.929578443,2527.025047,268.53235,33.26523068,4.637660657,9157.806518,481.3834764,11751.06102,229.7104473,9157.806518,229.7104473,117593.3208,0.03590625
Accessory supraoptic group,0,0,4254.324335,0,0,0,108917.4365,0,113171.7608,0,108917.4365,0,113202.3846,0.0013125
Nucleus circularis,0,0,4254.324335,7965.143834,0,0,108917.4365,4220.254774,113171.7608,58.21994869,108917.4365,58.21994869,113202.3846,0.0013125
Paraventricular hypothalamic nucleus,294.580406,0,11281.27004,0,82.98907553,0,18957.95646,0,30616.79598,0,18957.95646,0,122246.8781,0.271390625
"Paraventricular hypothalamic nucleus, magnocellular division",0,0,10087.64304,0,328.1409955,0,18830.88111,0,29246.66514,0,18830.88111,0,271718.2851,0.04165625
"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",0,0,4040.588271,60.33742881,240.0024377,0,80327.3773,1782.424321,84607.96801,1653.916402,80327.3773,1653.916402,322827.0891,0.0090625
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part",0,0,11768.99096,0,352.6474018,0,1732.142952,0,13853.78131,0,1732.142952,0,257507.7835,0.03259375
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",0,0,13309.78256,3590.124041,311.836491,132.4801049,232.1377439,3535.973874,13853.75679,82.42722413,232.1377439,82.42722413,252143.4235,0.02715625
"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",0,0,4073.888083,2130.924112,556.46741,311.2729812,9223.548275,2906.210035,13853.90377,2215.396654,9223.548275,2215.396654,284298.7534,0.0054375
"Paraventricular hypothalamic nucleus, parvicellular division",347.9947679,0,11497.70271,0,38.53726171,0,18980.99821,0,30865.23295,0,18980.99821,0,95144.19351,0.229734375
"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part",290.8894018,3.137517708,9191.978717,430.6933325,19.88597075,50.90932744,20359.03135,273.0773775,29861.78544,0,20359.03135,0,29861.78544,0.096625
"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone",490.6195215,5.29206759,12116.07381,1808.125991,76.36353145,73.35112721,28409.77785,1744.755871,41092.83471,803.2559509,28409.77785,803.2559509,178783.7198,0.079734375
"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part",238.3125272,2.571369654,14748.00993,1660.665791,15.79491064,2.114488159,2401.133054,1881.179268,17403.25042,307.1177563,2401.133054,307.1177563,88380.11534,0.053375
"Periventricular hypothalamic nucleus, anterior part",0,0,0,0,0,0,0,0,0,0,0,0,163854.7365,0.02753125
"Periventricular hypothalamic nucleus, intermediate part",0,0,5095.899545,369.9147773,9.960170223,0.359817251,7308.240406,432.9570851,12414.10012,242.670594,7308.240406,242.670594,141151.1214,0.173125
Arcuate hypothalamic nucleus,273.2038707,49.78571445,18786.72404,3917.255354,20.09297297,17.93200746,10610.76582,2797.300975,29690.78671,580.395576,10610.76582,580.395576,221760.521,0.272453125
Periventricular region,256.3550936,0,6527.969271,0,57.18935604,0,25774.92619,0,32616.43991,0,25774.92619,0,91501.72657,2.3518125
Anterodorsal preoptic nucleus,349.827596,28.28473068,1584.09876,384.7339907,4.746842963,1.017440002,45027.18621,0,46965.85941,0,45027.18621,0,46965.85941,0.039703125
Anteroventral preoptic nucleus,0,0,0,0,0,0,0,0,0,0,0,0,30944.56488,0.07075
Anteroventral periventricular nucleus,64.15944201,0,2344.398645,292.4856995,27.14441753,148.5003465,14748.11837,395.8380872,17183.82088,335.9098321,14748.11837,335.9098321,89926.49023,0.07278125
Dorsomedial nucleus of the hypothalamus,91.07108465,0,12214.02774,0,29.62558829,0,43776.10876,0,56110.83317,0,43776.10876,0,158724.2224,0.508140625
"Dorsomedial nucleus of the hypothalamus, anterior part",127.1887114,26.25216576,9743.635714,339.4000966,27.28048409,9.317481397,40777.41524,1179.77349,50675.52015,990.6841794,40777.41524,990.6841794,128985.2778,0.2858125
"Dorsomedial nucleus of the hypothalamus, posterior part",60.721867,0,16366.55038,3207.370887,35.11637116,8.561703033,49343.83794,2946.365857,65806.22656,1286.397405,49343.83794,1286.397405,223193.6595,0.097609375
"Dorsomedial nucleus of the hypothalamus, ventral part",32.05428872,6.988443408,14625.40358,3603.218014,30.70247696,10.09946851,46290.57854,2667.938032,60978.73888,1192.033206,46290.57854,1192.033206,176419.562,0.12471875
Median preoptic nucleus,180.9603906,0,2060.613168,758.9119186,60.58984102,11.28424308,23766.85817,1065.134194,26069.02157,509.6011773,23766.85817,509.6011773,81572.47779,0.185
Medial preoptic area,118.1623226,0,3108.04185,256.8878882,95.7505039,78.5133738,25466.25781,0,28788.21249,0,25466.25781,0,28788.21249,0.905703125
Vascular organ of the lamina terminalis,0,0,0,0,0,0,0,0,0,0,0,0,178419.7917,0.01740625
Posterodorsal preoptic nucleus,0,0,11292.87626,870.3183172,312.3232363,0,17.27141312,48525.82978,11622.47091,48528.79616,17.27141312,48528.79616,135306.9638,0.003875
Parastrial nucleus,191.6841381,150.1914321,3179.000586,1375.319469,20.50617585,4.781972211,24449.69223,1120.467961,27840.88313,544.2380018,24449.69223,544.2380018,43469.48193,0.028953125
